# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl zum 1. Deutschen Bundestag (14. August 1949)
# Endgültige Ergebnisse der Stimmen nach Wahlkreisen
# 
Wahlkreis;;Land;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;FDP;CSU;KPD;Parteilose;BP;DP;Zentrum;WAV;DKP/DRP;RSF;SSW;EVD;RWVP;;;;;;;;;;;;;;;;;
Nr.;Name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;Gießen;HE;143130;109222;4049;105173;26905;10445;41499;0;4795;21529;0;0;0;0;0;0;0;0;0
134;Fulda;HE;151291;121969;4791;117178;23199;50411;21899;0;2930;18739;0;0;0;0;0;0;0;0;0
135;Obertaunuskreis;HE;116124;87910;5279;82631;25361;20463;22119;0;4189;10499;0;0;0;0;0;0;0;0;0
136;Friedberg;HE;150594;115684;7140;108544;35963;15208;31812;0;6168;19393;0;0;0;0;0;0;0;0;0
137;Limburg;HE;129821;105636;4988;100648;24354;38810;21401;0;2790;13293;0;0;0;0;0;0;0;0;0
138;Wiesbaden;HE;154936;119629;3297;116332;33557;27179;42381;0;7195;6020;0;0;0;0;0;0;0;0;0
139;Hanau;HE;126891;107912;8758;99154;31637;23751;16937;0;13688;13141;0;0;0;0;0;0;0;0;0
140;Frankfurt/M I;HE;124140;82327;4451;77876;30155;19612;17852;0;6803;3454;0;0;0;0;0;0;0;0;0
141;Frankfurt/M II;HE;134288;85547;3490;82057;32253;16393;20543;0;6851;6017;0;0;0;0;0;0;0;0;0
142;Frankfurt/M III;HE;123381;80576;3226;77350;31218;16468;19017;0;6596;4051;0;0;0;0;0;0;0;0;0
143;Groß-Gerau;HE;147467;121850;11648;110202;42729;29806;27030;0;10637;0;0;0;0;0;0;0;0;0;0
144;Offenbach/M;HE;149947;125586;9642;115944;43119;28286;20108;0;11186;13245;0;0;0;0;0;0;0;0;0
145;Darmstadt;HE;119379;96485;6913;89572;31114;10614;32948;0;9702;5194;0;0;0;0;0;0;0;0;0
146;Dieburg;HE;103842;83584;6496;77088;28199;18374;15408;0;6752;8355;0;0;0;0;0;0;0;0;0
