Bundestagswahl am 19. September 1965 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;F.D.P.;;AUD;;DFU;;FSU;;NPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

43;Pfalzgrafenstr. 34;884;662;9;653;316;48,4;257;39,4;67;10,3;0;0,0;4;0,6;2;0,3;7;1,1;
44;Pfalzgrafenstr. 34;935;741;16;725;262;36,1;388;53,5;52;7,2;0;0,0;16;2,2;0;0,0;7;1,0;
45;Pfalzgrafenstr. 34;1.125;851;7;844;430;51,0;297;35,2;85;10,1;5;0,6;6;0,7;1;0,1;20;2,4;
46;Diestelbeck 9;1.122;882;7;875;412;47,1;356;40,7;82;9,4;3;0,3;7;0,8;0;0,0;15;1,7;
47;Diestelbeck 9;1.152;881;12;869;397;45,7;363;41,8;78;9,0;1;0,1;17;2,0;1;0,1;12;1,4;
48;Diestelbeck 9;1.137;873;4;869;404;46,5;359;41,3;86;9,9;1;0,1;16;1,8;1;0,1;2;0,2;
49;Blankstr. 5;1.472;1.099;6;1.093;548;50,1;389;35,6;132;12,1;2;0,2;7;0,6;0;0,0;15;1,4;
50;Döpersberg 36;964;736;17;719;304;42,3;360;50,1;48;6,7;0;0,0;2;0,3;2;0,3;3;0,4;
51;Diestelbeck 9;1.264;977;14;963;446;46,3;388;40,3;101;10,5;3;0,3;15;1,6;0;0,0;10;1,0;
52;Diestelbeck 9;1.196;930;18;912;401;44,0;421;46,2;73;8,0;1;0,1;6;0,7;2;0,2;8;0,9;
53;Bendahler Str. 56;1.078;802;11;791;357;45,1;354;44,8;69;8,7;0;0,0;4;0,5;1;0,1;6;0,8;
54;Jägerhofstr. 2;974;686;4;682;345;50,6;202;29,6;118;17,3;1;0,1;8;1,2;0;0,0;8;1,2;
55;Dorner Weg, Ecke Freudenberger Str.;969;676;3;673;411;61,1;133;19,8;105;15,6;0;0,0;3;0,5;1;0,1;20;3,0;
56;Cronenberger Str. 375;993;770;20;750;330;44,0;356;47,5;39;5,2;0;0,0;5;0,7;3;0,4;17;2,3;
57;Cronenberger Str. 375;831;653;3;650;313;48,1;254;39,1;58;8,9;0;0,0;10;1,5;0;0,0;15;2,3;
58;Cronenberger Str. 375;1.050;782;6;776;403;51,9;245;31,6;99;12,8;1;0,1;13;1,7;1;0,1;14;1,8;
59;Cronenberger Str. 375;815;660;9;651;312;47,9;283;43,5;38;5,8;0;0,0;9;1,4;0;0,0;9;1,4;
60;Cronenfelder Str. 26 a;714;566;8;558;271;48,6;214;38,4;61;10,9;0;0,0;10;1,8;2;0,4;0;0,0;
61;Küllenhahner Str. 19;1.300;1.048;25;1.023;483;47,2;422;41,2;87;8,5;3;0,3;22;2,1;1;0,1;5;0,5;
