Bundestagswahl am 24. September 2017 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;GRÜNE;;DIE LINKE;;FDP;;AfD;;PIRATEN;;Die PARTEI;;MLPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

40605;BW-Bezirk Grifflenberg 2;x;1.173;13;1.160;434;37,4;310;26,7;128;11,0;96;8,3;91;7,8;68;5,9;11;0,9;22;1,9;0;0,0;
40706;BW-Bezirk Friedrichsberg;x;1.259;9;1.250;427;34,2;355;28,4;116;9,3;98;7,8;90;7,2;112;9,0;13;1,0;38;3,0;1;0,1;
40811;BW-Bezirk Brill-Arrenberg;x;1.397;5;1.392;488;35,1;354;25,4;179;12,9;104;7,5;162;11,6;67;4,8;5;0,4;30;2,2;3;0,2;
40912;BW-Bezirk Nützenberg-Zoo;x;1.142;8;1.134;381;33,6;353;31,1;83;7,3;100;8,8;115;10,1;77;6,8;6;0,5;18;1,6;1;0,1;
41013;BW-Bezirk Sonnborn-Varresbeck;x;1.406;12;1.394;549;39,4;355;25,5;97;7,0;63;4,5;175;12,6;136;9,8;3;0,2;15;1,1;1;0,1;
41121;BW-Bezirk Uellendahl-Ost 1;x;1.380;4;1.376;589;42,8;337;24,5;105;7,6;74;5,4;171;12,4;87;6,3;5;0,4;8;0,6;0;0,0;
41221;BW-Bezirk Uellendahl-Ost 2;x;923;3;920;371;40,3;272;29,6;52;5,7;34;3,7;111;12,1;74;8,0;2;0,2;4;0,4;0;0,0;
41322;BW-Bezirk Uellendahl-West 1;x;853;10;843;318;37,7;222;26,3;57;6,8;68;8,1;84;10,0;82;9,7;2;0,2;10;1,2;0;0,0;
41422;BW-Bezirk Uellendahl-West 2;x;1.084;9;1.075;433;40,3;315;29,3;85;7,9;49;4,6;117;10,9;62;5,8;3;0,3;10;0,9;1;0,1;
41523;BW-Bezirk Katernberg 1;x;1.374;3;1.371;615;44,9;297;21,7;112;8,2;56;4,1;188;13,7;89;6,5;3;0,2;11;0,8;0;0,0;
41623;BW-Bezirk Katernberg 2;x;1.279;6;1.273;532;41,8;292;22,9;101;7,9;63;5,0;187;14,7;80;6,3;6;0,5;9;0,7;3;0,2;
41731;BW-Bezirk Vohwinkel-Ost;x;1.338;9;1.329;412;31,0;417;31,4;120;9,0;109;8,2;118;8,9;118;8,9;12;0,9;22;1,7;1;0,1;
41832;BW-Bezirk Vohwinkel-West;x;1.063;10;1.053;404;38,4;303;28,8;63;6,0;59;5,6;109;10,3;93;8,8;14;1,3;8;0,8;0;0,0;
41933;BW-Bezirk Vohwinkel-Nord;x;1.451;10;1.441;447;31,0;469;32,5;114;7,9;91;6,3;138;9,6;152;10,6;9;0,6;19;1,3;2;0,1;
42041;BW-Bezirk Cronenberg-Süd 1;x;1.082;11;1.071;485;45,3;282;26,3;64;6,0;47;4,4;108;10,1;80;7,5;0;0,0;5;0,5;0;0,0;
42141;BW-Bezirk Cronenberg-Süd 2;x;1.019;8;1.011;414;41,0;284;28,1;72;7,1;43;4,2;99;9,8;86;8,5;0;0,0;13;1,3;0;0,0;
42242;BW-Bezirk Cronenberg-Nord;x;1.513;17;1.496;645;43,1;393;26,3;128;8,6;82;5,5;137;9,2;93;6,2;0;0,0;18;1,2;0;0,0;
42351;BW-Bezirk Barmen-Mitte;x;1.081;13;1.068;350;32,8;324;30,3;68;6,4;71;6,7;100;9,4;121;11,3;10;0,9;24;2,2;0;0,0;
42452;BW-Bezirk Sedansberg;x;825;3;822;213;25,9;280;34,1;67;8,2;79;9,6;72;8,8;86;10,5;7;0,8;18;2,2;0;0,0;
42553;BW-Bezirk Loh;x;1.032;13;1.019;277;27,2;324;31,8;92;9,0;95;9,3;87;8,5;116;11,4;9;0,9;19;1,9;0;0,0;
42654;BW-Bezirk Unterbarmen-Clausen;x;1.097;5;1.092;317;29,0;367;33,6;98;9,0;95;8,7;112;10,3;69;6,3;15;1,4;18;1,6;1;0,1;
42755;BW-Bezirk Hatzfeld;x;1.417;10;1.407;498;35,4;430;30,6;80;5,7;103;7,3;133;9,4;131;9,3;5;0,4;25;1,8;2;0,1;
42856;BW-Bezirk Kothen-Lichtenplatz 1;x;1.001;4;997;415;41,6;228;22,9;118;11,8;65;6,5;103;10,3;58;5,8;5;0,5;5;0,5;0;0,0;
42956;BW-Bezirk Kothen-Lichtenplatz 2;x;1.000;9;991;321;32,4;266;26,8;96;9,7;75;7,6;116;11,7;91;9,2;2;0,2;23;2,3;1;0,1;
43061;BW-Bezirk Oberbarmen;x;690;5;685;191;27,9;219;32,0;34;5,0;67;9,8;74;10,8;76;11,1;9;1,3;13;1,9;2;0,3;
43162;BW-Bezirk Wichlinghausen-Süd;x;783;14;769;214;27,8;260;33,8;52;6,8;58;7,5;73;9,5;81;10,5;14;1,8;16;2,1;1;0,1;
43263;BW-Bezirk Wichlinghausen-Nord;x;955;8;947;321;33,9;303;32,0;55;5,8;71;7,5;82;8,7;97;10,2;4;0,4;13;1,4;1;0,1;
43364;BW-Bezirk Nächstebreck 1;x;967;4;963;411;42,7;215;22,3;58;6,0;45;4,7;118;12,2;106;11,0;4;0,4;5;0,5;1;0,1;
43464;BW-Bezirk Nächstebreck 2;x;814;5;809;328;40,5;223;27,6;41;5,1;49;6,1;89;11,0;70;8,7;2;0,2;6;0,7;1;0,1;
43571;BW-Bezirk Heckinghausen-West 1;x;850;2;848;317;37,4;264;31,1;56;6,6;55;6,5;66;7,8;80;9,4;2;0,2;8;0,9;0;0,0;
43671;BW-Bezirk Heckinghausen-West 2;x;720;3;717;327;45,6;167;23,3;42;5,9;36;5,0;88;12,3;46;6,4;1;0,1;9;1,3;1;0,1;
43772;BW-Bezirk Heckinghausen-Ost;x;973;6;967;302;31,2;321;33,2;62;6,4;73;7,5;84;8,7;96;9,9;4;0,4;24;2,5;1;0,1;
43881;BW-Bezirk Langerfeld-Nord;x;1.169;16;1.153;381;33,0;359;31,1;69;6,0;68;5,9;101;8,8;147;12,8;6;0,5;22;1,9;0;0,0;
43982;BW-Bezirk Langerfeld-Süd/Beyenburg 1;x;740;5;735;297;40,4;206;28,0;37;5,0;50;6,8;59;8,0;74;10,1;3;0,4;8;1,1;1;0,1;
44082;BW-Bezirk Langerfeld-Süd/Beyenburg 2;x;1.184;11;1.173;457;39,0;335;28,6;93;7,9;53;4,5;123;10,5;94;8,0;3;0,3;14;1,2;1;0,1;
44191;BW-Bezirk Ronsdorf-Ost;x;1.414;9;1.405;580;41,3;398;28,3;88;6,3;65;4,6;124;8,8;123;8,8;0;0,0;25;1,8;2;0,1;
44292;BW-Bezirk Ronsdorf-West 1;x;879;8;871;355;40,8;271;31,1;62;7,1;53;6,1;87;10,0;33;3,8;0;0,0;9;1,0;1;0,1;
44392;BW-Bezirk Ronsdorf-West 2;x;901;5;896;413;46,1;241;26,9;70;7,8;32;3,6;88;9,8;48;5,4;0;0,0;4;0,5;0;0,0;
Ingesamt;;241.103;176.421;2.218;174.203;53.759;30,9;54.474;31,3;12.816;7,4;14.698;8,4;15.192;8,7;18.730;10,8;1.407;0,8;2.873;1,6;254;0,1;
