Bundestagswahl am 3. Oktober 1976 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;AVP;;DKP;;NPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

42;Donarstr. 2;916;746;6;740;300;40,5;293;39,6;141;19,1;0;0,0;3;0,4;3;0,4;
43;Donarstr. 2;1.003;786;5;781;419;53,6;223;28,6;126;16,1;0;0,0;5;0,6;8;1,0;
44;Donarstr. 2;1.055;814;1;813;272;33,5;401;49,3;136;16,7;0;0,0;3;0,4;1;0,1;
45;Alte Dorfstr. 24;329;237;0;237;54;22,8;137;57,8;43;18,1;0;0,0;1;0,4;2;0,8;
46;Ibacher Mühle 170;245;199;6;193;57;29,5;123;63,7;12;6,2;0;0,0;1;0,5;0;0,0;
47;Höhenstr. 56;860;710;2;708;257;36,3;350;49,4;98;13,8;0;0,0;3;0,4;0;0,0;
48;Am Dönberg 46;1.508;1.250;7;1.243;420;33,8;675;54,3;141;11,3;0;0,0;4;0,3;3;0,2;
49;Kurt-Schumacher-Str. 207;1.174;965;5;960;333;34,7;464;48,3;159;16,6;0;0,0;2;0,2;2;0,2;
50;Kurt-Schumacher-Str. 207;1.166;971;6;965;418;43,3;407;42,2;135;14,0;0;0,0;3;0,3;2;0,2;
51;Uellendahler Str. 540;752;621;8;613;222;36,2;286;46,7;102;16,6;0;0,0;3;0,5;0;0,0;
52;Uellendahler Str. 400;843;696;5;691;280;40,5;284;41,1;124;17,9;0;0,0;1;0,1;2;0,3;
53;Uellendahler Str. 400;868;702;5;697;298;42,8;261;37,5;132;18,9;0;0,0;4;0,6;2;0,3;
54;Röttgen 110;878;705;3;702;278;39,6;276;39,3;137;19,5;0;0,0;11;1,6;0;0,0;
55;Röttgen 110;960;726;3;723;238;32,9;346;47,9;134;18,5;0;0,0;5;0,7;0;0,0;
56;Röttgen 110;1.095;882;4;878;348;39,6;384;43,7;136;15,5;0;0,0;9;1,0;1;0,1;
57;Kohlstr. 122;1.139;936;5;931;502;53,9;249;26,8;150;16,1;0;0,0;21;2,3;9;1,0;
58;Kohlstr. 122;1.043;834;4;830;384;46,3;294;35,4;147;17,7;0;0,0;5;0,6;0;0,0;
59;Leipziger Str. 1;866;721;2;719;300;41,7;290;40,3;125;17,4;0;0,0;3;0,4;1;0,1;
60;Kohlstr. 10;1.034;851;7;844;375;44,4;335;39,7;130;15,4;0;0,0;2;0,2;2;0,2;
61;Opphofer Str. 47;789;655;1;654;387;59,2;165;25,2;92;14,1;0;0,0;8;1,2;2;0,3;
62;Am Mirker Bach 1;1.014;792;4;788;296;37,6;356;45,2;127;16,1;0;0,0;6;0,8;3;0,4;
