Bundestagswahl am 27. September 1998 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;F.D.P.;;GRÜNE;;PDS;;GRAUE;;REP;;Dicke, Einzelbewerber;;Klett, Einzellbewerber;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

52;Viktoriastr. 21;905;617;0;617;301;48,8;182;29,5;34;5,5;77;12,5;13;2,1;1;0,2;3;0,5;5;0,8;1;0,2;
53;Bundesallee 30;794;487;4;483;299;61,9;112;23,2;15;3,1;31;6,4;11;2,3;1;0,2;9;1,9;3;0,6;2;0,4;
54;Simonsstr. 34;919;532;8;524;342;65,3;113;21,6;13;2,5;36;6,9;7;1,3;1;0,2;10;1,9;2;0,4;0;0,0;
55;Simonsstr. 34;748;478;10;468;271;57,9;93;19,9;19;4,1;44;9,4;14;3,0;3;0,6;18;3,9;3;0,6;3;0,6;
56;Kyffhäuser Str. 98;1.064;772;3;769;521;67,8;189;24,6;17;2,2;19;2,5;9;1,2;0;0,0;11;1,4;0;0,0;3;0,4;
57;Nützenberger Str. 288;1.028;664;12;652;358;54,9;205;31,4;27;4,1;36;5,5;10;1,5;0;0,0;16;2,5;0;0,0;0;0,0;
58;Nützenberger Str. 242;964;655;5;650;369;56,8;185;28,5;23;3,5;43;6,6;7;1,1;5;0,8;17;2,6;1;0,1;0;0,0;
59;Simonsstr. 34;376;178;3;175;111;63,4;23;13,1;6;3,4;19;10,9;6;3,4;1;0,6;7;4,0;0;0,0;2;1,1;
60;Donarstr. 2;1.248;867;13;854;513;60,1;235;27,5;22;2,6;46;5,4;17;2,0;4;0,5;16;1,9;1;0,1;0;0,0;
61;Donarstr. 2;1.245;842;8;834;399;47,8;294;35,2;43;5,2;57;6,8;21;2,5;6;0,7;12;1,4;1;0,1;1;0,1;
62;Friedrich-Ebert-Str. 408;241;158;0;158;102;64,6;37;23,4;9;5,7;2;1,3;4;2,5;0;0,0;4;2,5;0;0,0;0;0,0;
63;Lüntenbecker Weg 44;1.070;730;6;724;325;44,9;308;42,5;43;5,9;25;3,5;5;0,7;1;0,1;15;2,1;1;0,1;1;0,1;
