Bundestagswahl am 27. September 2009 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;SPD;;CDU;;FDP;;GRÜNE;;DIE LINKE;;NPD;;MLPD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

63;Kohlstr. 150;1.435;840;18;822;323;39,3;259;31,5;68;8,3;49;6,0;102;12,4;21;2,5;0;0,0;
64;Leipziger Str. 1;1.302;738;10;728;260;35,7;262;36,0;57;7,8;63;8,7;71;9,8;14;1,9;1;0,1;
65;Kohlstr. 11;1.114;497;6;491;182;37,1;129;26,3;50;10,2;44;9,0;73;14,9;12;2,4;1;0,2;
66;Am Mirker Bach 1;877;487;7;480;186;38,8;155;32,3;33;6,9;58;12,1;43;9,0;5;1,0;0;0,0;
67;Vogelsangstr. 50;1.165;639;8;631;249;39,5;203;32,2;44;7,0;81;12,8;47;7,5;6;0,9;1;0,2;
68;Hainstr. 192;1.380;909;11;898;322;35,9;339;37,8;98;10,9;72;8,0;56;6,2;8;0,9;3;0,3;
69;Kruppstr. 139;1.291;649;4;645;230;35,7;233;36,1;64;9,9;45;7,0;67;10,4;4;0,6;2;0,3;
70;Birkenhöhe 60;1.191;758;10;748;222;29,7;339;45,3;90;12,0;57;7,6;33;4,4;5;0,7;2;0,3;
71;Hainstr. 192;1.281;819;4;815;260;31,9;343;42,1;90;11,0;74;9,1;40;4,9;8;1,0;0;0,0;
72;Birkenhöhe 60;1.071;665;8;657;261;39,7;239;36,4;63;9,6;43;6,5;41;6,2;8;1,2;2;0,3;
73;In den Birken 56;1.122;630;11;619;184;29,7;288;46,5;70;11,3;46;7,4;27;4,4;2;0,3;2;0,3;
74;Kruppstr. 139;759;496;3;493;193;39,1;166;33,7;41;8,3;43;8,7;41;8,3;8;1,6;1;0,2;
75;Kruppstr. 139;874;498;3;495;168;33,9;188;38,0;56;11,3;52;10,5;25;5,0;6;1,2;0;0,0;
76;Bayreuther Str. 35;959;596;4;592;206;34,8;217;36,7;58;9,8;61;10,3;48;8,1;1;0,2;1;0,2;
77;Pahlkestr. 250;923;607;2;605;141;23,3;315;52,1;80;13,2;48;7,9;16;2,6;5;0,8;0;0,0;
78;Birkenhöhe 60;1.217;781;13;768;254;33,1;312;40,6;93;12,1;72;9,4;35;4,6;1;0,1;1;0,1;
79;Birkenhöhe 60;1.097;603;10;593;229;38,6;196;33,0;57;9,6;34;5,7;62;10,5;15;2,5;0;0,0;
80;Lessingstr. 18;1.313;767;11;756;306;40,5;220;29,1;76;10,1;73;9,7;69;9,1;12;1,6;0;0,0;
81;Blücherstr. 19;1.297;637;7;630;215;34,1;229;36,4;51;8,1;69;10,9;57;9,1;9;1,4;0;0,0;
82;Ehrenhainstr. 119;1.283;690;13;677;239;35,3;245;36,2;32;4,7;44;6,5;107;15,8;10;1,5;0;0,0;
83;Lettow-Vorbeck-Str.19;1.303;667;13;654;249;38,1;219;33,5;44;6,7;58;8,9;71;10,9;11;1,7;2;0,3;
84;Lettow-Vorbeck-Str.19;1.011;516;8;508;213;41,9;140;27,6;32;6,3;50;9,8;61;12,0;11;2,2;1;0,2;
85;Blücherstr. 19;1.288;550;8;542;226;41,7;142;26,2;36;6,6;50;9,2;72;13,3;15;2,8;1;0,2;
86;Corneliusstr. 2;1.247;634;6;628;245;39,0;204;32,5;41;6,5;62;9,9;61;9,7;14;2,2;1;0,2;
87;Corneliusstr. 2;1.323;737;13;724;257;35,5;283;39,1;50;6,9;61;8,4;59;8,2;14;1,9;0;0,0;
88;Ehrenhainstr. 119;1.073;551;9;542;177;32,7;211;38,9;46;8,5;34;6,3;63;11,6;8;1,5;3;0,6;
89;Elfenhang 4;1.174;623;16;607;209;34,4;184;30,3;37;6,1;35;5,8;116;19,1;26;4,3;0;0,0;
90;Bremkamp 46;1.346;791;13;778;302;38,8;286;36,8;65;8,3;52;6,7;60;7,7;12;1,5;1;0,1;
