Bundestagswahl am 22. September 2013 (Erststimmen)
Wähler im Wahllokal und Briefwähler

Wahlbezirk;;Wahlberechtigte;Wähler;Stimmen;;CDU;;SPD;;FDP;;GRÜNE;;DIE LINKE;;PIRATEN;;NPD;;MLPD;;AfD;;
;;;;ungültige;gültige;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;abs.;in v.H.;

21;Friedrich-Storck-Weg 22;1.065;566;8;558;168;30,1;248;44,4;12;2,1;47;8,4;56;10,0;15;2,7;12;2,1;x;0,0;x;0,0;
22;Else-Lasker-Schüler-Str. 30;1.092;475;17;458;124;27,1;211;46,1;8;1,8;42;9,2;53;11,6;14;3,1;6;1,3;x;0,0;x;0,0;
23;Else-Lasker-Schüler-Str. 30;1.010;479;12;467;107;22,9;220;47,1;9;1,9;47;10,1;58;12,4;16;3,4;10;2,1;x;0,0;x;0,0;
24;Blankstr. 5;993;491;12;479;182;38,0;188;39,2;16;3,3;32;6,7;44;9,2;12;2,5;5;1,0;x;0,0;x;0,0;
25;Gaußstr. 51;1.194;659;12;647;238;36,8;263;40,6;17;2,6;67;10,4;42;6,5;14;2,2;6;0,9;x;0,0;x;0,0;
26;Rainer-Gruenter Str. 21;1.265;767;8;759;373;49,1;262;34,5;26;3,4;44;5,8;33;4,3;17;2,2;4;0,5;x;0,0;x;0,0;
27;Cronenberger Str. 375;1.233;748;8;740;312;42,2;276;37,3;19;2,6;46;6,2;58;7,8;16;2,2;13;1,8;x;0,0;x;0,0;
28;Im Ostersiepen 25;1.332;583;11;572;179;31,3;239;41,8;14;2,5;55;9,6;46;8,0;27;4,7;12;2,1;x;0,0;x;0,0;
29;Cronenberger Str. 375;1.332;740;16;724;304;42,0;310;42,8;21;2,9;39;5,4;33;4,6;15;2,1;2;0,3;x;0,0;x;0,0;
30;Augustastr. 2;1.141;582;14;568;200;35,2;233;41,0;6;1,1;49;8,6;36;6,3;34;6,0;10;1,8;x;0,0;x;0,0;
31;Johannisberg 20;1.053;489;11;478;169;35,4;214;44,8;6;1,3;20;4,2;42;8,8;17;3,6;10;2,1;x;0,0;x;0,0;
32;Kölner Str. 4;1.198;651;9;642;216;33,6;272;42,4;15;2,3;35;5,5;73;11,4;21;3,3;10;1,6;x;0,0;x;0,0;
33;Reichsgrafenstr. 38;1.341;638;11;627;197;31,4;290;46,2;12;1,9;43;6,9;49;7,8;23;3,7;13;2,1;x;0,0;x;0,0;
34;Pfalzgrafenstr. 32;1.227;580;6;574;167;29,1;242;42,2;11;1,9;50;8,7;62;10,8;27;4,7;15;2,6;x;0,0;x;0,0;
35;Jung-Stilling-Weg 45;1.461;812;6;806;319;39,6;312;38,7;30;3,7;50;6,2;54;6,7;21;2,6;20;2,5;x;0,0;x;0,0;
36;Neviandtstr. 87;1.092;521;8;513;179;34,9;202;39,4;20;3,9;43;8,4;39;7,6;24;4,7;6;1,2;x;0,0;x;0,0;
37;Bayreuther Str. 35;1.340;805;10;795;312;39,2;293;36,9;35;4,4;93;11,7;47;5,9;10;1,3;5;0,6;x;0,0;x;0,0;
38;Bayreuther Str. 35;1.289;714;11;703;264;37,5;273;38,8;40;5,7;82;11,7;27;3,8;14;2,0;3;0,4;x;0,0;x;0,0;
39;Viktoriastr. 21;1.163;675;6;669;253;37,8;238;35,6;28;4,2;76;11,4;54;8,1;17;2,5;3;0,5;x;0,0;x;0,0;
40;Bundesallee 30;1.424;654;6;648;164;25,3;280;43,2;19;2,9;66;10,2;84;13,0;23;3,5;12;1,9;x;0,0;x;0,0;
41;Arrenberger Str. 71;1.009;500;9;491;104;21,2;238;48,5;5;1,0;49;10,0;67;13,7;15;3,0;13;2,6;x;0,0;x;0,0;
42;Kyffhäuser Str. 86;1.301;754;7;747;252;33,7;375;50,2;21;2,8;18;2,4;47;6,3;15;2,0;19;2,5;x;0,0;x;0,0;
43;Stockmannsmühle 23;709;425;8;417;177;42,5;186;44,6;9;2,2;19;4,6;18;4,3;2;0,5;6;1,4;x;0,0;x;0,0;
44;Nützenberger Str. 242;1.223;547;10;537;152;28,3;249;46,4;6;1,1;47;8,8;49;9,1;24;4,5;10;1,9;x;0,0;x;0,0;
45;Donarstr. 2;1.174;662;8;654;208;31,8;289;44,2;16;2,5;45;6,9;52;8,0;25;3,8;19;2,9;x;0,0;x;0,0;
46;Donarstr. 2;1.234;750;14;736;280;38,0;284;38,6;22;3,0;83;11,3;42;5,7;16;2,2;9;1,2;x;0,0;x;0,0;
47;Gellertweg 71;1.210;709;11;698;318;45,6;241;34,5;32;4,6;41;5,9;35;5,0;14;2,0;17;2,4;x;0,0;x;0,0;
48;Krummacher Str. 25;1.284;757;13;744;293;39,4;298;40,0;21;2,8;35;4,7;57;7,7;26;3,5;14;1,9;x;0,0;x;0,0;
49;Deutscher Ring 11;1.222;610;13;597;205;34,3;258;43,2;15;2,5;37;6,2;47;7,9;16;2,7;19;3,2;x;0,0;x;0,0;
50;Sillerstr. 13;1.320;781;23;758;251;33,1;346;45,6;21;2,8;26;3,4;70;9,2;23;3,0;21;2,8;x;0,0;x;0,0;
51;Garterlaie 29;1.146;608;8;600;222;37,0;253;42,2;9;1,5;26;4,3;50;8,3;23;3,8;17;2,8;x;0,0;x;0,0;
52;Unten Vorm Steeg 1;1.054;611;6;605;277;45,8;209;34,5;23;3,8;31;5,1;32;5,3;13;2,1;20;3,3;x;0,0;x;0,0;
53;Am Dönberg 46;1.486;973;6;967;476;49,2;347;35,9;29;3,0;59;6,1;29;3,0;15;1,6;12;1,2;x;0,0;x;0,0;
54;Höhenstr. 25;1.322;829;11;818;377;46,1;297;36,3;24;2,9;52;6,4;45;5,5;14;1,7;9;1,1;x;0,0;x;0,0;
55;Höhenstr. 56;1.361;861;7;854;450;52,7;274;32,1;30;3,5;43;5,0;32;3,8;14;1,6;11;1,3;x;0,0;x;0,0;
56;Kurt-Schumacher-Str. 130;894;561;8;553;255;46,1;201;36,4;18;3,2;34;6,2;23;4,2;16;2,9;6;1,1;x;0,0;x;0,0;
57;Kurt-Schumacher-Str. 130;950;477;22;455;185;40,7;178;39,1;15;3,3;29;6,4;23;5,0;14;3,1;11;2,4;x;0,0;x;0,0;
58;Gustav-Heinemann-Str. 10 a;1.044;532;5;527;219;41,6;195;37,0;19;3,6;30;5,7;40;7,6;8;1,5;16;3,0;x;0,0;x;0,0;
59;Röttgen 110 ;958;505;6;499;185;37,1;209;41,9;15;3,0;26;5,2;47;9,4;6;1,2;11;2,2;x;0,0;x;0,0;
60;Röttgen 110 ;650;354;5;349;159;45,6;135;38,7;8;2,3;18;5,2;21;6,0;3;0,9;5;1,4;x;0,0;x;0,0;
61;Röttgen 110 ;1.237;631;7;624;304;48,7;206;33,0;20;3,2;38;6,1;32;5,1;9;1,4;15;2,4;x;0,0;x;0,0;
62;Norkshäuschen 25;781;364;5;359;140;39,0;147;41,0;8;2,2;16;4,5;27;7,5;14;3,9;7;1,9;x;0,0;x;0,0;
63;Kohlstr. 150;1.404;836;17;819;314;38,3;333;40,7;29;3,5;42;5,1;64;7,8;20;2,4;17;2,1;x;0,0;x;0,0;
64;Leipziger Str. 1;1.255;718;13;705;273;38,7;299;42,4;12;1,7;59;8,4;37;5,2;13;1,8;12;1,7;x;0,0;x;0,0;
65;Kohlstr. 11;1.070;544;4;540;160;29,6;256;47,4;6;1,1;34;6,3;50;9,3;23;4,3;11;2,0;x;0,0;x;0,0;
